dataset_id,source,title,search_terms,source_url
MTBLS346,metabolights,"Metabolic changes of genetically engineered grapes (Vitis vinifera L.) studied by 1H-NMR, metabolite heatmaps and iPLS",placenta,https://www.ebi.ac.uk/metabolights/MTBLS346
MTBLS426,metabolights,Sexual dimorphism in the fetal cardiac response to maternal nutrient restriction,placenta,https://www.ebi.ac.uk/metabolights/MTBLS426
MTBLS666,metabolights,Identification of amniotic fluid metabolomic and placental transcriptomic changes associated with abnormal development of cloned pig fetuses,placental; placenta,https://www.ebi.ac.uk/metabolights/MTBLS666
MTBLS1629,metabolights,Paternal microbiome perturbations impact offspring fitness,placental,https://www.ebi.ac.uk/metabolights/MTBLS1629
MTBLS2148,metabolights,Low chorionic villous succinate accumulation associates with recurrent spontaneous abortion risk,trophoblast; trophoblasts; decidua; decidual; extravillous trophoblast,https://www.ebi.ac.uk/metabolights/MTBLS2148
MTBLS3091,metabolights,Metabolome of pig endometrium and placenta.,placental; placenta,https://www.ebi.ac.uk/metabolights/MTBLS3091
MTBLS3345,metabolights,"Effect of Genetically Reduced Maternal Myostatin on Late Gestation Maternal, Fetal, and Placental Metabolomes in Mice.",placental; placenta,https://www.ebi.ac.uk/metabolights/MTBLS3345
MTBLS5943,metabolights,Transcriptomic and lipidomic profiling of subcutaneous and visceral adipose tissues in 15 vertebrates,placental,https://www.ebi.ac.uk/metabolights/MTBLS5943
MTBLS8621,metabolights,UHPLC-OE-MS metabolic profile of follicular fluid in patients with ovarian endometriosis: a pilot study of an endometriosis cohort,placenta,https://www.ebi.ac.uk/metabolights/MTBLS8621
MTBLS10002,metabolights,Global transcription and metabolic profiles of five tissues in pepper fruits,placenta,https://www.ebi.ac.uk/metabolights/MTBLS10002
MTBLS10118,metabolights,Transcriptomics integrated with metabolomics reveals partial molecular mechanisms of nutritional risk and neurodevelopment in children with congenital heart disease,placental,https://www.ebi.ac.uk/metabolights/MTBLS10118
MTBLS10266,metabolights,The bile acid metabolome in umbilical cord blood and meconium of healthy newborns: Distinct characteristics and implications (Umbilical cord blood analysis),placenta,https://www.ebi.ac.uk/metabolights/MTBLS10266
MTBLS12316,metabolights,Maternal Gut Microbiota Influences Immune Activation at the Maternal-Fetal Interface Affecting Pregnancy Outcome,placental; placenta,https://www.ebi.ac.uk/metabolights/MTBLS12316
MTBLS12552,metabolights,Chemerin sustains the growth of spongiotrophoblast and sinusoidal trophoblast giant cells through fatty acid oxidation,placental; placenta; trophoblast; syncytiotrophoblast,https://www.ebi.ac.uk/metabolights/MTBLS12552
MTBLS12560,metabolights,Metabolomic landscape of fetal organs development during late gestation in mice,placenta,https://www.ebi.ac.uk/metabolights/MTBLS12560
MTBLS12695,metabolights,Maternal chromium propionate reprograms the gut-blood-placenta axis to support neonatal immune and metabolic development in dairy calves: a multi-omics insight,placenta,https://www.ebi.ac.uk/metabolights/MTBLS12695
MTBLS12696,metabolights,Maternal chromium propionate reprograms the gut-blood-placenta axis to support neonatal immune and metabolic development in dairy calves: a multi-omics insight,placenta,https://www.ebi.ac.uk/metabolights/MTBLS12696
MTBLS12795,metabolights,Fecal metabolites in sows of different reproductive potential,placental; placenta; trophoblast,https://www.ebi.ac.uk/metabolights/MTBLS12795
MTBLS12796,metabolights,From maternal metabolome to placental development: thiamine-driven placental Notch-PI3K/AKT pathway coordinates placental angiogenesis and nutrient transport,placental,https://www.ebi.ac.uk/metabolights/MTBLS12796
MTBLS13103,metabolights,Limited vertical transmission but profound immune dysregulation at the maternal-fetal interface after SARS-CoV-2 infection,placental; trophoblast; trophoblasts; decidua; decidual,https://www.ebi.ac.uk/metabolights/MTBLS13103
MTBLS13850,metabolights,Polystyrene nanoparticles promote endometrial cancer development through the ACSS2-mediated reprogramming of arachidonic acid metabolism,placental,https://www.ebi.ac.uk/metabolights/MTBLS13850
MTBLS14423,metabolights,The targeted metabolomics data of the post-term mouse model,placental; placenta; trophoblast,https://www.ebi.ac.uk/metabolights/MTBLS14423
MTBLS14946,metabolights,Amniotic-fluid metabolomics identifies phospholipid remodeling as a metabolic signature of intrauterine exposure in pregnancies with polycystic ovary syndrome,placental,https://www.ebi.ac.uk/metabolights/MTBLS14946
